#chrom	txStart	txEnd	refseq	score	strand	symbol	rank
chr3	4493163	4493164	NR_108075	0.001	-	ITPR1-AS1	15051
chr16	22437007	22437008	NR_027154	0.001	+	SMG1P1	15052
chr19	9768734	9768735	NM_001077624	0.001	-	ZNF846	15053
chr1	229342941	229342942	NM_145257	0.001	-	CCSAP	15054
chr1	179229684	179229685	NM_007314	0.001	-	ABL2	15055
chr19	36489902	36489903	NM_001300970	0.001	-	ZNF566	15056
chr17	80098827	80098828	NR_039607	0.001	+	MIR1268B	15057
chr6	32894175	32894176	NR_037177	0.001	+	LOC100294145	15058
chr10	43266919	43266920	NM_145313	0.001	-	RASGEF1A	15059
chr1	40373705	40373706	NM_022733	0.001	+	SMAP2	15060
chr3	51941941	51941942	NM_004704	0.001	-	RRP9	15061
chr16	71894407	71894408	NM_001270976	0.001	+	IST1	15062
chr5	114773413	114773414	NR_130785	0.001	-	LOC101927078	15063
chr8	106060503	106060504	NR_125797	0.001	-	ZFPM2-AS1	15064
chr13	75537872	75537873	NM_203495	0.001	-	COMMD6	15065
chr8	106060503	106060504	NR_125796	0.001	-	ZFPM2-AS1	15066
chr5	58583043	58583044	NM_138453	0.001	+	RAB3C	15067
chr1	179229684	179229685	NM_001168237	0.001	-	ABL2	15068
chr1	179229684	179229685	NM_001168236	0.001	-	ABL2	15069
chr1	179229684	179229685	NM_001136001	0.001	-	ABL2	15070
chr3	9703806	9703807	NM_001308388	0.001	+	CPNE9	15071
chr19	8444918	8444919	NM_031203	0.001	+	HNRNPM	15072
chr19	8444918	8444919	NM_005968	0.001	+	HNRNPM	15073
chr13	75537872	75537873	NM_203497	0.001	-	COMMD6	15074
chr1	217089854	217089855	NM_001243505	0.001	-	ESRRG	15075
chr9	38424447	38424448	NM_001007563	0.001	-	IGFBPL1	15076
chr22	48547387	48547388	NR_038917	0.001	-	LOC284933	15077
chr2	135052264	135052265	NM_001172435	0.001	+	RAB3GAP1	15078
chr8	144950888	144950889	NM_001029976	0.001	-	ZNF16	15079
chr10	59906656	59906657	NM_005436	0.001	-	CCDC6	15080
chr4	102829313	102829314	NR_131185	0.001	+	LOC105377348	15081
chr8	119593008	119593009	NR_045555	0.001	-	ENPP2	15082
chr13	61199880	61199881	NR_036128	0.001	-	MIR3169	15083
chr1	116694111	116694112	NM_001013643	0.001	+	C1orf137	15084
chr12	74537770	74537771	NM_001136262	0.001	+	ATXN7L3B	15085
chr3	4493347	4493348	NM_002222	0.001	+	ITPR1	15086
chr3	4493347	4493348	NM_001168272	0.001	+	ITPR1	15087
chr3	4493347	4493348	NM_001099952	0.001	+	ITPR1	15088
chr5	28287665	28287666	NR_134265	0.001	-	LOC105374698	15089
chr9	121286080	121286081	NM_001258029	0.001	+	GSN	15090
chr19	12920319	12920320	NR_049880	0.001	+	MIR5695	15091
chr2	219060516	219060517	NM_002181	0.001	-	IHH	15092
chr16	22437715	22437716	NR_027460	0.001	-	RRN3P3	15093
chr13	75537872	75537873	NM_001287392	0.001	-	COMMD6	15094
chr3	177294441	177294442	NR_047465	0.001	+	LINC00501	15095
chr7	36724549	36724550	NM_001637	0.001	-	AOAH	15096
chr7	36724549	36724550	NM_001177507	0.001	-	AOAH	15097
chr7	36724549	36724550	NM_001177506	0.001	-	AOAH	15098
chr3	9703825	9703826	NM_153635	0.001	+	CPNE9	15099
chr19	45497055	45497056	NM_206900	0.001	-	RTN2	15100
chr1	24200239	24200240	NR_027087	0.001	+	LOC284632	15101
chr12	55842983	55842984	NM_001272101	0.001	-	MMP19	15102
chr14	35809226	35809227	NM_001283044	0.001	-	RALGAPA1	15103
chr7	120950762	120950763	NM_198267	0.001	+	ING3	15104
chr7	128715341	128715342	NM_032599	0.001	+	FAM71F1	15105
chr8	84183350	84183351	NM_001287243	0.001	+	RALYL	15106
chr1	217089645	217089646	NM_206594	0.001	-	ESRRG	15107
chr11	18266260	18266261	NM_001178006	0.001	+	SAA1	15108
chr7	128715341	128715342	NM_001282788	0.001	+	FAM71F1	15109
chr11	36568012	36568013	NM_000448	0.001	+	RAG1	15110
chr12	55842983	55842984	NR_073606	0.001	-	MMP19	15111
chr12	55842983	55842984	NM_002429	0.001	-	MMP19	15112
chr4	56821869	56821870	NR_073418	0.001	-	SPINK2	15113
chr1	179229684	179229685	NM_001168238	0.001	-	ABL2	15114
chr4	56821869	56821870	NM_021114	0.001	-	SPINK2	15115
chr22	35336799	35336800	NR_106717	0.001	-	MIR6069	15116
chr13	111320643	111320644	NM_152324	0.001	+	TEX29	15117
chr18	54354573	54354574	NM_139171	0.001	-	STARD6	15118
chr11	18266260	18266261	NM_000331	0.001	+	SAA1	15119
chr1	217089645	217089646	NM_001243506	0.001	-	ESRRG	15120
chr1	181023121	181023122	NM_005819	0.001	-	STX6	15121
chr7	120950762	120950763	NM_019071	0.001	+	ING3	15122
chr9	121286579	121286580	NM_001258030	0.001	+	GSN	15123
chr3	51942304	51942305	NM_005485	0.001	+	PARP3	15124
chr19	36489561	36489562	NM_001145345	0.001	-	ZNF566	15125
chr11	113773763	113773764	NM_004724	0.001	-	ZW10	15126
chr1	47179249	47179250	NR_047498	0.001	+	LINC00853	15127
chr19	36489626	36489627	NR_036504	0.001	+	LOC728752	15128
chr13	75537872	75537873	NM_001287393	0.001	-	COMMD6	15129
chr1	99765793	99765794	NM_001013660	0.001	-	FRRS1	15130
chr1	217089645	217089646	NM_206595	0.001	-	ESRRG	15131
chr19	36489561	36489562	NM_001145343	0.001	-	ZNF566	15132
chr19	36489561	36489562	NM_001145344	0.001	-	ZNF566	15133
chr1	160081569	160081570	NM_004983	0.001	+	KCNJ9	15134
chrX	17425880	17425881	NR_039925	0.001	+	MIR4768	15135
chr2	96816253	96816254	NM_199078	0.001	+	CNNM3	15136
chr2	96816253	96816254	NM_017623	0.001	+	CNNM3	15137
chr11	85686277	85686278	NM_152723	0.001	-	CCDC89	15138
chr17	64822102	64822103	NR_036271	0.001	-	MIR4315-2	15139
chr17	64822102	64822103	NR_036199	0.001	-	MIR4315-1	15140
chr14	35809226	35809227	NM_194301	0.001	-	RALGAPA1	15141
chr7	128715341	128715342	NR_104242	0.001	+	FAM71F1	15142
chr14	35809226	35809227	NM_014990	0.001	-	RALGAPA1	15143
chr14	35809226	35809227	NM_001283043	0.001	-	RALGAPA1	15144
chr19	56176019	56176020	NM_033106	0.001	+	GALP	15145
chr19	56176019	56176020	NM_001145546	0.001	+	GALP	15146
chr2	6917391	6917392	NM_014746	0.001	+	RNF144A	15147
chr19	8444827	8444828	NM_001297418	0.001	+	HNRNPM	15148
chr2	32357027	32357028	NM_016252	0.001	+	BIRC6	15149
chr1	37634923	37634924	NM_001242910	0.001	-	RSPO1	15150
chr13	99606663	99606664	NM_206808	0.001	+	CLYBL	15151
chr5	54455600	54455601	NM_006308	0.001	+	HSPB3	15152
chr19	48716957	48716958	NM_182574	0.001	-	MAMSTR	15153
chr21	33229894	33229895	NM_001289128	0.001	+	IFNAR2	15154
chr21	33229894	33229895	NM_001289126	0.001	+	IFNAR2	15155
chr21	33229894	33229895	NM_001289125	0.001	+	IFNAR2	15156
chr21	33229894	33229895	NM_000874	0.001	+	IFNAR2	15157
chr6	145814875	145814876	NR_038245	0.001	+	LOC100507557	15158
chr6	145814875	145814876	NR_038244	0.001	+	LOC100507557	15159
chr5	134371047	134371048	NM_001300853	0.001	-	CDKL3	15160
chr1	89126159	89126160	NM_004120	0.001	-	GBP2	15161
chr4	159267845	159267846	NM_014247	0.001	+	RAPGEF2	15162
chr19	45639087	45639088	NR_029886	0.001	-	MIR330	15163
chr4	10116949	10116950	NM_017491	0.001	-	WDR1	15164
chr5	177022679	177022680	NM_001308218	0.001	+	ZNF346	15165
chr4	10116949	10116950	NM_005112	0.001	-	WDR1	15166
chr19	51142300	51142301	NR_102350	0.001	+	SIGLEC7	15167
chr9	69035562	69035563	NM_181425	0.001	+	FXN	15168
chr19	51142300	51142301	NM_014385	0.001	+	SIGLEC7	15169
chr19	51142300	51142301	NM_001277201	0.001	+	SIGLEC7	15170
chr5	177022679	177022680	NR_131774	0.001	+	ZNF346	15171
chr5	177022679	177022680	NR_131773	0.001	+	ZNF346	15172
chr5	177022679	177022680	NM_012279	0.001	+	ZNF346	15173
chr5	177022679	177022680	NM_001308223	0.001	+	ZNF346	15174
chr5	177022679	177022680	NM_001308221	0.001	+	ZNF346	15175
chr5	177022679	177022680	NM_001308214	0.001	+	ZNF346	15176
chr21	33229894	33229895	NM_207584	0.001	+	IFNAR2	15177
chr21	33229894	33229895	NM_207585	0.001	+	IFNAR2	15178
chr20	56533245	56533246	NM_001013646	0.001	+	FAM209B	15179
chr19	45639417	45639418	NM_012155	0.001	-	EML2	15180
chr14	64540467	64540468	NM_021979	0.001	+	HSPA2	15181
chr16	56865206	56865207	NM_000339	0.001	+	SLC12A3	15182
chr12	26125070	26125071	NM_030762	0.001	-	BHLHE41	15183
chr7	38631567	38631568	NM_139316	0.001	-	AMPH	15184
chr7	38631567	38631568	NM_001635	0.001	-	AMPH	15185
chr12	122078727	122078728	NM_014938	0.001	+	MLXIP	15186
chr8	38901234	38901235	NM_021623	0.001	+	PLEKHA2	15187
chr19	5340803	5340804	NM_130855	0.001	-	PTPRS	15188
chr19	5340803	5340804	NM_130854	0.001	-	PTPRS	15189
chr19	5340803	5340804	NM_130853	0.001	-	PTPRS	15190
chr19	5340803	5340804	NM_002850	0.001	-	PTPRS	15191
chr7	73842525	73842526	NM_152559	0.001	-	WBSCR27	15192
chr2	66922490	66922491	NR_110600	0.001	-	LINC01628	15193
chr5	134371175	134371176	NM_003337	0.001	+	UBE2B	15194
chr1	234646288	234646289	NR_125944	0.001	+	LOC101927787	15195
chr9	121285530	121285531	NR_103560	0.001	-	GSN-AS1	15196
chr6	145814785	145814786	NM_032145	0.001	-	FBXO30	15197
chr16	20404711	20404712	NM_174924	0.001	-	PDILT	15198
chr15	42199666	42199667	NR_030357	0.001	-	MIR627	15199
chr14	93976730	93976731	NM_001202429	0.001	-	ASB2	15200
chr5	177022679	177022680	NM_001308219	0.001	+	ZNF346	15201
chr5	177022679	177022680	NM_001308216	0.001	+	ZNF346	15202
chr13	99606663	99606664	NR_104592	0.001	+	CLYBL	15203
chr11	66049180	66049181	NM_033036	0.001	-	GAL3ST3	15204
chr9	69035562	69035563	NM_000144	0.001	+	FXN	15205
chr2	15941723	15941724	NR_110230	0.001	-	MYCNOS	15206
chr2	15941723	15941724	NR_026766	0.001	-	MYCNOS	15207
chr19	9103306	9103307	NM_001005193	0.001	-	OR7G2	15208
chr1	37634923	37634924	NM_001242908	0.001	-	RSPO1	15209
chr1	37634923	37634924	NM_001038633	0.001	-	RSPO1	15210
chr2	137964237	137964238	NM_006895	0.001	+	HNMT	15211
chr2	137964237	137964238	NM_001024075	0.001	+	HNMT	15212
chr2	137964237	137964238	NM_001024074	0.001	+	HNMT	15213
chr17	50835243	50835244	NM_175575	0.001	+	WFIKKN2	15214
chr6	3063887	3063888	NM_003804	0.001	+	RIPK1	15215
chr5	177022679	177022680	NM_001308215	0.001	+	ZNF346	15216
chr6	3063887	3063888	NM_001317061	0.001	+	RIPK1	15217
chr2	135052264	135052265	NM_012233	0.001	+	RAB3GAP1	15218
chr1	147114346	147114347	NR_103466	0.001	-	NBPF13P	15219
chr9	69035562	69035563	NM_001161706	0.001	+	FXN	15220
chr19	41627074	41627075	NM_001817	0.001	-	CEACAM4	15221
chr1	205246495	205246496	NM_001297611	0.001	+	TMCC2	15222
chr2	55419921	55419922	NM_018084	0.001	-	CCDC88A	15223
chr2	55419921	55419922	NM_001254943	0.001	-	CCDC88A	15224
chr2	55419921	55419922	NM_001135597	0.001	-	CCDC88A	15225
chr3	64004021	64004022	NR_038286	0.001	+	PSMD6-AS2	15226
chr1	181023121	181023122	NM_001286210	0.001	-	STX6	15227
chr13	77975529	77975530	NM_000115	0.001	-	EDNRB	15228
chr2	175167709	175167710	NR_030630	0.001	-	MIR933	15229
chr6	165988039	165988040	NR_026860	0.001	-	LINC00473	15230
chr5	177022679	177022680	NM_001308213	0.001	+	ZNF346	15231
chr19	51142300	51142301	NM_016543	0.001	+	SIGLEC7	15232
chr8	144950888	144950889	NM_006958	0.001	-	ZNF16	15233
chr1	37634923	37634924	NM_001242909	0.001	-	RSPO1	15234
chr19	4932686	4932687	NR_039902	0.001	+	MIR4747	15235
chr4	99946726	99946727	NM_001278311	0.001	-	DNAJB14	15236
chr4	99946726	99946727	NM_001278310	0.001	-	DNAJB14	15237
chr4	99946726	99946727	NM_001031723	0.001	-	DNAJB14	15238
chr19	48717021	48717022	NM_001297753	0.001	-	MAMSTR	15239
chr19	50107134	50107135	NR_024242	0.001	-	SNAR-A14	15240
chr19	50107134	50107135	NR_024229	0.001	-	SNAR-A10	15241
chr19	50107134	50107135	NR_024228	0.001	-	SNAR-A8	15242
chr19	50107134	50107135	NR_024227	0.001	-	SNAR-A6	15243
chr19	50107134	50107135	NR_024226	0.001	-	SNAR-A9	15244
chr19	50107134	50107135	NR_024225	0.001	-	SNAR-A11	15245
chr19	50107134	50107135	NR_024224	0.001	-	SNAR-A7	15246
chr19	50107134	50107135	NR_024223	0.001	-	SNAR-A5	15247
chr19	50107134	50107135	NR_024215	0.001	-	SNAR-A4	15248
chr19	50107134	50107135	NR_024214	0.001	-	SNAR-A3	15249
chr5	50665898	50665899	NM_001178055	0.001	+	PARP8	15250
chr6	165988039	165988040	NR_026861	0.001	-	LINC00473	15251
chr6	136822563	136822564	NM_000288	0.001	+	PEX7	15252
chr8	17895404	17895405	NM_147203	0.001	-	FGL1	15253
chr13	23897006	23897007	NM_001007537	0.001	-	C1QTNF9B	15254
chr9	134917960	134917961	NM_002003	0.001	-	FCN1	15255
chr20	2536606	2536607	NM_080751	0.001	+	TMC2	15256
chr16	1964995	1964996	NR_003142	0.001	+	SNHG9	15257
chr12	23584612	23584613	NM_178010	0.001	-	SOX5	15258
chr5	132227863	132227864	NM_001017974	0.001	-	P4HA2	15259
chr8	79610813	79610814	NM_001199214	0.001	+	STMN2	15260
chr6	137494394	137494395	NM_175747	0.001	-	OLIG3	15261
chr1	201519903	201519904	NR_026667	0.001	+	RPS10P7	15262
chr9	104504262	104504263	NM_001004485	0.001	+	OR13F1	15263
chr9	128091463	128091464	NM_001265614	0.001	+	SLC25A25	15264
chr9	128091463	128091464	NM_001006642	0.001	+	SLC25A25	15265
chr7	72828234	72828235	NM_001145440	0.001	-	TYW1B	15266
chr6	43771984	43771985	NM_001287044	0.001	+	VEGFA	15267
chr2	68871517	68871518	NM_014482	0.001	-	BMP10	15268
chr19	45493245	45493246	NM_206901	0.001	-	RTN2	15269
chr13	51845150	51845151	NR_027048	0.001	-	LINC00282	15270
chr13	51845150	51845151	NR_027047	0.001	-	LINC00282	15271
chr1	4655044	4655045	NM_018836	0.001	+	AJAP1	15272
chr1	4655044	4655045	NM_001042478	0.001	+	AJAP1	15273
chr17	7329319	7329320	NM_032442	0.001	-	NEURL4	15274
chr17	7329319	7329320	NM_001005408	0.001	-	NEURL4	15275
chr15	72229722	72229723	NM_001206799	0.001	-	PKM	15276
chr13	37534939	37534940	NR_040244	0.001	+	LINC00547	15277
chr4	25656463	25656464	NM_001177999	0.001	+	SLC34A2	15278
chr7	73433778	73433779	NM_003508	0.001	+	FZD9	15279
chr4	143700675	143700676	NM_001168235	0.001	-	FREM3	15280
chr9	137247792	137247793	NM_001001710	0.001	-	FAM166A	15281
chr16	15056079	15056080	NM_001270767	0.001	-	NTAN1	15282
chr17	82031655	82031656	NM_005052	0.001	+	RAC3	15283
chr17	82031655	82031656	NM_001316307	0.001	+	RAC3	15284
chr5	132227242	132227243	NM_004199	0.001	-	P4HA2	15285
chr5	132227242	132227243	NM_001017973	0.001	-	P4HA2	15286
chr10	121975228	121975229	NM_017615	0.001	-	NSMCE4A	15287
chr10	121975228	121975229	NM_001167865	0.001	-	NSMCE4A	15288
chr11	65614249	65614250	NM_002419	0.001	-	MAP3K11	15289
chr3	15873770	15873771	NR_030289	0.001	+	MIR563	15290
chr16	1964826	1964827	NM_002952	0.001	-	RPS2	15291
chrY	22298876	22298877	NR_001541	0.001	-	TTTY5	15292
chr7	101308339	101308340	NR_110115	0.001	+	LOC101927746	15293
chr15	23447243	23447244	NM_001304388	0.001	-	GOLGA6L2	15294
chr19	43619862	43619863	NM_182498	0.001	-	ZNF428	15295
chr13	65866046	65866047	NR_132362	0.001	+	LINC01052	15296
chr13	77697853	77697854	NM_001242868	0.001	+	SLAIN1	15297
chr13	62807359	62807360	NR_120403	0.001	-	LINC00448	15298
chr21	29939964	29939965	NM_175611	0.001	-	GRIK1	15299
chr21	29939964	29939965	NM_000830	0.001	-	GRIK1	15300
chr17	74361819	74361820	NM_001080466	0.001	-	BTBD17	15301
chr12	122226441	122226442	NR_103497	0.001	+	LOC101593348	15302
chr4	146121913	146121914	NR_038331	0.001	-	LINC01095	15303
chr14	92794230	92794231	NM_005113	0.001	+	GOLGA5	15304
chr5	132227863	132227864	NM_001142598	0.001	-	P4HA2	15305
chr9	33952854	33952855	NR_003685	0.001	-	SNORD121A	15306
chr9	84669679	84669680	NM_001007097	0.001	+	NTRK2	15307
chr11	8964773	8964774	NM_020644	0.001	-	TMEM9B	15308
chr11	8964773	8964774	NM_001286094	0.001	-	TMEM9B	15309
chr16	88686474	88686475	NM_178310	0.001	-	SNAI3	15310
chr11	107457846	107457847	NM_152434	0.001	-	CWF19L2	15311
chr9	101738580	101738581	NM_133445	0.001	-	GRIN3A	15312
chr5	4773480	4773481	NR_104619	0.001	+	LOC101929153	15313
chr12	68686950	68686951	NM_020401	0.001	+	NUP107	15314
chr8	17895538	17895539	NM_201552	0.001	-	FGL1	15315
chr8	17895538	17895539	NM_004467	0.001	-	FGL1	15316
chr4	188105587	188105588	NM_173553	0.001	-	TRIML2	15317
chr9	91075132	91075133	NR_033912	0.001	-	LOC100129316	15318
chr2	42170231	42170232	NR_110584	0.001	-	LOC102723824	15319
chrX	100584792	100584793	NM_022144	0.001	+	TNMD	15320
chr17	19716730	19716731	NM_152908	0.001	-	SLC47A2	15321
chr17	19716730	19716731	NM_001256663	0.001	-	SLC47A2	15322
chr17	19716730	19716731	NM_001099646	0.001	-	SLC47A2	15323
chr2	113627138	113627139	NR_024531	0.001	-	RPL23AP7	15324
chr2	113627138	113627139	NR_024530	0.001	-	RPL23AP7	15325
chr2	113627138	113627139	NR_024529	0.001	-	RPL23AP7	15326
chr2	113627138	113627139	NR_024528	0.001	-	RPL23AP7	15327
chr2	113627138	113627139	NR_000029	0.001	-	RPL23AP7	15328
chr16	15056079	15056080	NM_173474	0.001	-	NTAN1	15329
chr19	50104075	50104076	NR_024229	0.001	-	SNAR-A10	15330
chr16	15056079	15056080	NM_001270766	0.001	-	NTAN1	15331
chr9	84669679	84669680	NM_001018066	0.001	+	NTRK2	15332
chr4	188105587	188105588	NM_001303419	0.001	-	TRIML2	15333
chr15	53762878	53762879	NR_102334	0.001	-	WDR72	15334
chr16	1965183	1965184	NR_003020	0.001	+	SNORA78	15335
chr14	100875032	100875033	NR_030617	0.001	+	MIR665	15336
chr19	48637550	48637551	NM_001352	0.001	-	DBP	15337
chr2	15690781	15690782	NR_110201	0.001	+	LOC101926966	15338
chr12	1027747	1027748	NM_001301248	0.001	+	ERC1	15339
chr5	121851954	121851955	NM_177478	0.001	+	FTMT	15340
chr1	38991243	38991244	NM_024595	0.001	+	AKIRIN1	15341
chr1	38991243	38991244	NM_001136275	0.001	+	AKIRIN1	15342
chr10	18400583	18400584	NM_201570	0.001	+	CACNB2	15343
chr9	84669679	84669680	NM_001018065	0.001	+	NTRK2	15344
chr19	50104075	50104076	NR_024242	0.001	-	SNAR-A14	15345
chr19	50104075	50104076	NR_024228	0.001	-	SNAR-A8	15346
chr19	50104075	50104076	NR_024227	0.001	-	SNAR-A6	15347
chr19	50104075	50104076	NR_024226	0.001	-	SNAR-A9	15348
chr19	50104075	50104076	NR_024225	0.001	-	SNAR-A11	15349
chr19	50104075	50104076	NR_024224	0.001	-	SNAR-A7	15350
chr19	50104075	50104076	NR_024223	0.001	-	SNAR-A5	15351
chr19	50104075	50104076	NR_024215	0.001	-	SNAR-A4	15352
chr19	50104075	50104076	NR_024214	0.001	-	SNAR-A3	15353
chr18	73264498	73264499	NR_034133	0.001	-	LOC400655	15354
chr11	67437682	67437683	NM_005608	0.001	-	PTPRCAP	15355
chr5	142108758	142108759	NM_030571	0.001	+	NDFIP1	15356
chr5	20575873	20575874	NM_001291956	0.001	-	CDH18	15357
chr2	219206783	219206784	NM_001270998	0.001	+	ZFAND2B	15358
chrX	71618517	71618518	NM_001504	0.001	-	CXCR3	15359
chrX	71366238	71366239	NR_104389	0.001	+	TAF1	15360
chrX	71618517	71618518	NM_001142797	0.001	-	CXCR3	15361
chr2	219206783	219206784	NM_138802	0.001	+	ZFAND2B	15362
chr20	64290384	64290385	NR_040415	0.001	+	LINC00266-1	15363
chr10	27154823	27154824	NM_032844	0.001	+	MASTL	15364
chr10	27154823	27154824	NM_001172304	0.001	+	MASTL	15365
chr10	27154823	27154824	NM_001172303	0.001	+	MASTL	15366
chrX	71366238	71366239	NR_104387	0.001	+	TAF1	15367
chr2	206159194	206159195	NM_001199984	0.001	-	NDUFS1	15368
chr12	122226568	122226569	NM_001278303	0.001	-	DIABLO	15369
chr17	59220466	59220467	NM_001165994	0.001	+	GDPD1	15370
chr17	59220466	59220467	NM_001165993	0.001	+	GDPD1	15371
chr8	69835064	69835065	NM_030958	0.001	-	SLCO5A1	15372
chr17	7179564	7179565	NM_001671	0.001	-	ASGR1	15373
chr17	7179564	7179565	NM_001197216	0.001	-	ASGR1	15374
chr19	58381022	58381023	NR_049780	0.001	-	ZNF837	15375
chr19	58381022	58381023	NM_138466	0.001	-	ZNF837	15376
chr1	45521938	45521939	NM_181697	0.001	-	PRDX1	15377
chrX	71366238	71366239	NM_004606	0.001	+	TAF1	15378
chr1	45521938	45521939	NM_002574	0.001	-	PRDX1	15379
chr2	219206783	219206784	NM_001270999	0.001	+	ZFAND2B	15380
chrX	71366238	71366239	NM_138923	0.001	+	TAF1	15381
chr17	59220466	59220467	NM_182569	0.001	+	GDPD1	15382
chrX	71366238	71366239	NR_104388	0.001	+	TAF1	15383
chr2	224401994	224401995	NM_024785	0.001	-	FAM124B	15384
chr20	33081511	33081512	NM_182519	0.001	+	BPIFB4	15385
chr9	96116411	96116412	NR_132344	0.001	-	LOC158434	15386
chr17	19344574	19344575	NR_031591	0.001	-	MIR1180	15387
chr1	59146807	59146808	NR_027120	0.001	-	HSD52	15388
chr7	112206587	112206588	NM_021994	0.001	+	ZNF277	15389
chr19	53697532	53697533	NR_030192	0.001	+	MIR525	15390
chr17	28861730	28861731	NR_039885	0.001	-	MIR4732	15391
chrX	71366238	71366239	NR_104395	0.001	+	TAF1	15392
chr17	5123102	5123103	NM_014519	0.001	-	ZNF232	15393
chr12	8066359	8066360	NM_004054	0.001	-	C3AR1	15394
chr19	12401274	12401275	NM_001080821	0.001	-	ZNF799	15395
chr17	21075555	21075556	NR_110896	0.001	+	LINC01563	15396
chr17	21075555	21075556	NR_110895	0.001	+	LINC01563	15397
chr19	36489435	36489436	NM_032838	0.001	-	ZNF566	15398
chrX	71366238	71366239	NR_104394	0.001	+	TAF1	15399
chrX	71366238	71366239	NR_104393	0.001	+	TAF1	15400
chrX	71366238	71366239	NR_104392	0.001	+	TAF1	15401
chrX	71366238	71366239	NR_104391	0.001	+	TAF1	15402
chrX	71366238	71366239	NR_104390	0.001	+	TAF1	15403
chr16	56858517	56858518	NR_029680	0.001	+	MIR138-2	15404
chr1	45521938	45521939	NM_181696	0.001	-	PRDX1	15405
chr11	4594038	4594039	NM_001005169	0.001	+	OR52I1	15406
chr8	93740996	93740997	NM_203390	0.001	-	RBM12B	15407
chr11	74731385	74731386	NM_015424	0.001	-	CHRDL2	15408
chr19	48638038	48638039	NR_004401	0.001	+	SEC1P	15409
chr2	165239401	165239402	NM_001040142	0.001	+	SCN2A	15410
chr12	13376745	13376746	NR_036555	0.001	-	LINC01559	15411
chr17	75855420	75855421	NM_012478	0.001	-	WBP2	15412
chr3	88149742	88149743	NM_173824	0.001	+	C3orf38	15413
chr14	100874492	100874493	NR_029889	0.001	+	MIR337	15414
chr5	64575649	64575650	NR_073511	0.001	+	RGS7BP	15415
chr5	64575649	64575650	NM_001271891	0.001	+	RGS7BP	15416
chr5	64575649	64575650	NM_001271890	0.001	+	RGS7BP	15417
chr22	21632796	21632797	NM_152612	0.001	+	CCDC116	15418
chr11	74731385	74731386	NM_001278473	0.001	-	CHRDL2	15419
chr1	181174483	181174484	NR_125966	0.001	+	LOC101928973	15420
chr11	63507986	63507987	NM_001142537	0.001	+	LGALS12	15421
chr17	42844591	42844592	NM_009590	0.001	+	AOC2	15422
chr17	42844591	42844592	NM_001158	0.001	+	AOC2	15423
chr15	74873329	74873330	NM_005697	0.001	-	SCAMP2	15424
chr3	88149866	88149867	NM_001195308	0.001	-	CGGBP1	15425
chr17	41189886	41189887	NM_001190460	0.001	+	KRTAP9-1	15426
chr18	32018481	32018482	NM_017831	0.001	+	RNF125	15427
chr12	122226568	122226569	NM_138930	0.001	-	DIABLO	15428
chr12	122226568	122226569	NM_001278342	0.001	-	DIABLO	15429
chr12	122226568	122226569	NM_001278302	0.001	-	DIABLO	15430
chr11	63507986	63507987	NM_001142538	0.001	+	LGALS12	15431
chr2	104872595	104872596	NR_110373	0.001	-	LINC01159	15432
chr19	48455706	48455707	NM_013348	0.001	+	KCNJ14	15433
chr7	112206407	112206408	NM_014705	0.001	-	DOCK4	15434
chr19	7880232	7880233	NR_033250	0.001	-	LYPLA2P2	15435
chr4	25655812	25655813	NM_006424	0.001	+	SLC34A2	15436
chr4	25655812	25655813	NM_001177998	0.001	+	SLC34A2	15437
chr8	142752534	142752535	NM_205545	0.001	-	LYPD2	15438
chr8	30095405	30095406	NM_015344	0.001	+	LEPROTL1	15439
chr8	30095405	30095406	NM_001128208	0.001	+	LEPROTL1	15440
chr1	209686179	209686180	NM_181755	0.001	+	HSD11B1	15441
chr1	209686179	209686180	NM_001206741	0.001	+	HSD11B1	15442
chr13	77698116	77698117	NR_037438	0.001	-	MIR3665	15443
chr11	56470538	56470539	NM_001004742	0.001	-	OR5M3	15444
chr7	143715845	143715846	NM_001130026	0.001	+	TCAF2	15445
chr1	183304874	183304875	NM_170706	0.001	-	NMNAT2	15446
chr3	54639857	54639858	NR_027122	0.001	-	ESRG	15447
chr2	166081530	166081531	NR_110260	0.001	+	LOC101929680	15448
chr1	11479237	11479238	NM_020780	0.001	+	PTCHD2	15449
chr22	43343388	43343389	NM_173050	0.001	-	SCUBE1	15450
chr2	104872595	104872596	NR_110374	0.001	-	LINC01159	15451
chrX	71366238	71366239	NM_001286074	0.001	+	TAF1	15452
chr1	61725423	61725424	NM_032027	0.001	-	TM2D1	15453
chr12	45292682	45292683	NM_001142678	0.001	+	ANO6	15454
chr5	132227863	132227864	NM_001142599	0.001	-	P4HA2	15455
chr11	8964674	8964675	NR_073431	0.001	+	TMEM9B-AS1	15456
chr12	54364486	54364487	NM_020370	0.001	-	GPR84	15457
chrX	100732148	100732149	NM_001129896	0.001	-	SYTL4	15458
chr20	38033545	38033546	NM_021215	0.001	+	RPRD1B	15459
chr11	123560261	123560262	NM_001286564	0.001	+	GRAMD1B	15460
chr2	106065656	106065657	NM_032411	0.001	+	C2orf40	15461
chr13	106653879	106653880	NR_047026	0.001	+	LINC00443	15462
chr17	19867926	19867927	NM_014683	0.001	-	ULK2	15463
chr17	19867926	19867927	NM_001142610	0.001	-	ULK2	15464
chr20	38033468	38033469	NM_014657	0.001	-	TTI1	15465
